"experiment_id","scenario","run_seed","height_zone","larvae","total_larvae","proportion"
"E3","V3A",6105,">8 cm",84,1000,0.084
"E3","V3A",6106,"<2 cm",904,1000,0.904
"E3","V3A",6106,"2-4 cm",16,1000,0.016
"E3","V3A",6106,"4-6 cm",0,1000,0
"E3","V3A",6106,"6-8 cm",4,1000,0.004
"E3","V3A",6106,">8 cm",76,1000,0.076
"E3","V3A",6107,"<2 cm",900,1000,0.9
"E3","V3A",6107,"2-4 cm",12,1000,0.012
"E3","V3A",6107,"4-6 cm",4,1000,0.004
"E3","V3A",6107,"6-8 cm",0,1000,0
"E3","V3A",6107,">8 cm",84,1000,0.084
"E3","V3A",6108,"<2 cm",900,1000,0.9
"E3","V3A",6108,"2-4 cm",0,1000,0
"E3","V3A",6108,"4-6 cm",0,1000,0
"E3","V3A",6108,"6-8 cm",4,1000,0.004
"E3","V3A",6108,">8 cm",96,1000,0.096
"E3","V3A",6109,"<2 cm",900,1000,0.9
"E3","V3A",6109,"2-4 cm",8,1000,0.008
"E3","V3A",6109,"4-6 cm",0,1000,0
"E3","V3A",6109,"6-8 cm",8,1000,0.008
"E3","V3A",6109,">8 cm",84,1000,0.084
"E3","V3A",6110,"<2 cm",912,1000,0.912
"E3","V3A",6110,"2-4 cm",4,1000,0.004
"E3","V3A",6110,"4-6 cm",0,1000,0
"E3","V3A",6110,"6-8 cm",0,1000,0
"E3","V3A",6110,">8 cm",84,1000,0.084
"E3","V3A",7101,"<2 cm",2241,2250,0.996
"E3","V3A",7101,"2-4 cm",0,2250,0
"E3","V3A",7101,"4-6 cm",0,2250,0
"E3","V3A",7101,"6-8 cm",0,2250,0
"E3","V3A",7101,">8 cm",9,2250,0.004
"E3","V3A",7102,"<2 cm",996,1000,0.996
"E3","V3A",7102,"2-4 cm",4,1000,0.004
"E3","V3A",7102,"4-6 cm",0,1000,0
"E3","V3A",7102,"6-8 cm",0,1000,0
"E3","V3A",7102,">8 cm",0,1000,0
"E3","V3A",7103,"<2 cm",996,1000,0.996
"E3","V3A",7103,"2-4 cm",0,1000,0
"E3","V3A",7103,"4-6 cm",0,1000,0
"E3","V3A",7103,"6-8 cm",0,1000,0
"E3","V3A",7103,">8 cm",4,1000,0.004
"E3","V3A",7104,"<2 cm",996,1000,0.996
"E3","V3A",7104,"2-4 cm",0,1000,0
"E3","V3A",7104,"4-6 cm",0,1000,0
"E3","V3A",7104,"6-8 cm",0,1000,0
"E3","V3A",7104,">8 cm",4,1000,0.004
"E3","V3A",7105,"<2 cm",996,1000,0.996
"E3","V3A",7105,"2-4 cm",0,1000,0
"E3","V3A",7105,"4-6 cm",0,1000,0
"E3","V3A",7105,"6-8 cm",0,1000,0
"E3","V3A",7105,">8 cm",4,1000,0.004
"E3","V3A",7106,"<2 cm",996,1000,0.996
"E3","V3A",7106,"2-4 cm",0,1000,0
"E3","V3A",7106,"4-6 cm",0,1000,0
"E3","V3A",7106,"6-8 cm",0,1000,0
"E3","V3A",7106,">8 cm",4,1000,0.004
"E3","V3A",7107,"<2 cm",992,1000,0.992
"E3","V3A",7107,"2-4 cm",0,1000,0
"E3","V3A",7107,"4-6 cm",0,1000,0
"E3","V3A",7107,"6-8 cm",0,1000,0
"E3","V3A",7107,">8 cm",8,1000,0.008
"E3","V3A",7108,"<2 cm",996,1000,0.996
"E3","V3A",7108,"2-4 cm",0,1000,0
"E3","V3A",7108,"4-6 cm",0,1000,0
"E3","V3A",7108,"6-8 cm",0,1000,0
"E3","V3A",7108,">8 cm",4,1000,0.004
"E3","V3A",7109,"<2 cm",996,1000,0.996
"E3","V3A",7109,"2-4 cm",0,1000,0
"E3","V3A",7109,"4-6 cm",0,1000,0
"E3","V3A",7109,"6-8 cm",0,1000,0
"E3","V3A",7109,">8 cm",4,1000,0.004
"E3","V3A",7110,"<2 cm",996,1000,0.996
"E3","V3A",7110,"2-4 cm",0,1000,0
"E3","V3A",7110,"4-6 cm",0,1000,0
"E3","V3A",7110,"6-8 cm",0,1000,0
"E3","V3A",7110,">8 cm",4,1000,0.004
"E3","V3A",8101,"<2 cm",2187,2250,0.972
"E3","V3A",8101,"2-4 cm",9,2250,0.004
"E3","V3A",8101,"4-6 cm",18,2250,0.008
"E3","V3A",8101,"6-8 cm",9,2250,0.004
"E3","V3A",8101,">8 cm",27,2250,0.012
"E3","V3A",8102,"<2 cm",976,1000,0.976
"E3","V3A",8102,"2-4 cm",8,1000,0.008
