active_neurons,eff_connections,mean_abs_weight,s2n,s2a,n2n,n2a,experiment,seed,fitness
8,40,1.951092529296875,8,14,8,10,E1,27,8498.603516
9,43,2.0070971111918605,9,16,8,10,E1,27,8496.814453
8,42,2.0063883463541665,9,16,6,11,E1,27,8488.3125
9,45,2.0165120442708333,9,16,10,10,E1,27,8486.130859
8,40,2.0604095458984375,9,13,8,10,E1,27,8486.005859
9,46,1.981116253396739,11,19,7,9,E1,27,8485.685547
9,43,2.0071425327034884,9,16,8,10,E1,27,8484.05957
9,44,1.9856400923295454,10,15,7,12,E1,27,8480.007812
9,44,1.9856400923295454,10,15,7,12,E1,27,8477.407227
10,44,2.0385603471235796,11,13,8,12,E1,28,11151.882812
10,43,1.9687329669331395,9,12,10,12,E1,28,10587.102539
10,45,2.014694552951389,10,12,12,11,E1,28,10519.544922
10,44,2.017397793856534,9,12,13,10,E1,28,10473.597656
10,45,2.003371853298611,8,15,10,12,E1,28,10338.144531
11,47,2.039779338430851,12,10,13,12,E1,28,10321.730469
10,46,2.061109459918478,10,12,11,13,E1,28,10110.112305
10,45,2.0500868055555554,10,12,12,11,E1,28,10011.333008
10,46,2.044051460597826,10,14,11,11,E1,28,9919.050781
10,45,2.0295518663194443,12,12,10,11,E1,28,9884.09375
8,38,2.214345831620066,7,17,6,8,E1,29,9199.353516
9,45,2.0995551215277777,11,15,7,12,E1,29,8918.668945
8,39,2.1440367087339745,7,13,6,13,E1,29,8748.402344
9,44,2.1283624822443183,9,14,8,13,E1,29,8697.386719
9,41,2.090870927019817,10,14,6,11,E1,29,8640.399414
9,41,2.057682688643293,8,16,6,11,E1,29,8550.170898
9,44,2.090731534090909,11,15,7,11,E1,29,8533.644531
8,38,2.214345831620066,7,16,6,9,E1,29,8494.929688
8,44,2.121254660866477,11,15,7,11,E1,29,8492.050781
9,41,2.090870927019817,10,12,7,12,E1,29,8490.758789
10,46,1.8995785920516304,12,17,8,9,E1,30,13721.462891
10,45,1.909130859375,12,17,7,9,E1,30,12821.048828
10,46,1.9004330842391304,11,18,8,9,E1,30,12011.097656
8,40,1.8469482421875,13,15,3,9,E1,30,11836.339844
10,45,1.8857042100694446,11,17,8,9,E1,30,11667.105469
11,49,1.9218301578443877,14,15,9,11,E1,30,11314.055664
10,46,1.8995838994565217,13,16,7,10,E1,30,11006.847656
8,39,1.7502535306490385,11,17,3,8,E1,30,10956.255859
10,46,1.8635731572690217,12,18,7,9,E1,30,10914.990234
10,45,1.8853569878472223,11,17,9,8,E1,30,10873.517578
