Generation;AvgFitness;MaxFitness
853;6782,174805;7527,459473
852;6579,353516;7518,641602
851;6530,543457;7532,975586
850;6853,016113;7519,962402
849;6750,978516;7515,304199
848;6458,95166;7516,325684
847;6721,409668;7513,854492
846;6327,314453;7517,73584
845;6672,515625;7518,181152
844;6225,824707;7526,922363
843;6288,731934;7547,419922
842;6398,265137;7516,90625
841;6469,630371;7527,373535
840;6740,882812;7518,495605
839;6357,775879;7517,780762
838;6438,414062;7548,426758
837;6751,861328;7528,498047
836;6478,459473;7519,500488
835;6539,609375;7516,764648
834;6004,826172;7516,834961
833;6347,8125;7522,741211
832;6288,666504;7522,01123
831;6397,648438;7517,966797
830;6590,488281;7516,490723
829;6257,447266;7520,430176
828;6369,287109;7519,945312
827;6175,450195;7521,003906
826;6316,062012;7520,54248
825;6620,489258;7541,03418
824;6459,052734;7535,086426
823;6448,527344;7533,391602
822;6406,973145;7534,233398
821;6600,381836;7522,194336
820;6265,088867;7529,20752
819;6540,180176;7520,088379
818;6377,030273;7517,55957
817;6084,152344;7520,323242
816;6589,611328;7521,36084
815;6458,069824;7519,865723
814;6408,785156;7557,62793
813;6499,200195;7523,324219
812;6092,931152;7515,598633
811;6681,866211;7791,42334
810;6214,540039;7515,604492
809;6469,065918;7528,352539
808;6579,848145;7516,172363
807;6691,486816;7516,803223
806;6499,834473;7534,318359
805;6315,752441;7520,385254
804;6247,134766;7518,638672
803;6377,897949;7519,424316
802;6689,205078;7515,912109
801;6165,844727;7520,010742
800;6569,205078;7519,225098
799;6346,879883;7516,709961
798;6225,638184;7514,12207
797;6508,334961;7517,17041
796;6416,48291;7516,40918
795;6357,462891;7513,95166
794;6144,229004;7514,236816
793;6316,818848;7515,724121
792;6215,446777;7514,929688
791;6427,342285;7516,370117
790;6428,021484;7514,809082
789;6105,458984;7516,342773
788;6244,73877;7517,376953
787;6529,248535;7515,871094
786;6610,044922;7518,45752
785;6508,55127;7515,142578
784;6295,611328;7516,571289
783;6367,061523;7518,069336
782;6186,232422;7514,155273
781;6486,700195;7519,76709
780;6377,667969;7518,71582
779;6436,508789;7518,977051
778;6338,70166;7516,097656
777;6497,706543;7519,041016
776;6609,004883;7515,692383
775;6224,741699;7515,569336
774;6346,936035;7513,773926
773;6528,951172;7513,835449
772;6094,776855;7545,980957
771;6367,537109;7523,10498
770;6417,407715;7519,109375
769;6487,755859;7520,214844
768;6397,525879;7563,196289
767;6226,587402;7526,805176
766;6215,562988;7539,010742
765;6407,219238;7570,21875
764;6165,338379;7525,523438
763;6195,007812;7518,558594
762;6287,141113;7539,950684
761;6206,180664;7517,04834
760;6317,352539;7516,383789
759;6075,240723;7524,621582
758;6256,795898;7515,888672
757;6003,740723;7515,63916
756;6136,660156;7513,902832
755;6449,685059;7515,3125
754;6519,793945;7514,318848
753;6175,665527;7517,252441
752;6397,987305;7521,119629
